"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @PodSaveAmerica: ""The entire election was fought over Hillary Clinton's emails and her ability to protect classified information, and [T…",FALSE,0,NA,2018-02-10 17:53:13,FALSE,NA,"962383968795545601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","georgefayner",666,TRUE,FALSE,NA,NA
"2","It took Trump's election to get people on the left to start singing the praises of north Korea.
This is a very rece… https://t.co/gIIf6G0PVi",FALSE,2,NA,2018-02-10 17:53:12,TRUE,NA,"962383968292270080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michaelmalice",1,FALSE,FALSE,NA,NA
"3","RT @FOXSoccer: ""We got a candidate we can unify behind.""

Athlete Council member @stuholden shares what was behind their decision to vote f…",FALSE,0,NA,2018-02-10 17:53:12,FALSE,NA,"962383966690004994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hansgunner",7,TRUE,FALSE,NA,NA
"4","RT @realDonaldTrump: Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order to…",FALSE,0,NA,2018-02-10 17:53:11,FALSE,NA,"962383961434488832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RenaSummersLtd",25285,TRUE,FALSE,NA,NA
"5","RT @nytimes: President Trump appeared to express doubts about the #MeToo movement, saying, ""lives are being shattered and destroyed by a me…",FALSE,0,NA,2018-02-10 17:53:10,FALSE,NA,"962383959031144448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","glezgaby",174,TRUE,FALSE,NA,NA
"6","RT @Majid_Agha: Molana Sami-ul-Haq is now officially running for Senate election from Khyber Pakhtunkhwa. #PMLN MPA Arbab Waseem proposes h…",FALSE,0,NA,2018-02-10 17:53:10,FALSE,NA,"962383958490173440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sajid45542",47,TRUE,FALSE,NA,NA
"7","RT @TruthinGov2016: @realDonaldTrump @nytimes .@SebGorka: We need to understand the enormity of the #ObamaGate spying scandal: 1) It’s perv…",FALSE,0,NA,2018-02-10 17:53:09,FALSE,NA,"962383954828460032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoriJac47135906",33,TRUE,FALSE,NA,NA
"8","@MGongolewicz @APDiploWriter all of them in present Gov.of Poland are communists. Majority of Parliament (the party… https://t.co/0yNrB2taEL",FALSE,0,"MGongolewicz",2018-02-10 17:53:09,TRUE,"962376497356070917","962383952546811904","875273613842280448","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ewkapolak",0,FALSE,FALSE,NA,NA
"9","@election_data D. Enterprise (Whig) MP for Feathershoneshawe Valley East 1841-7. https://t.co/SMhhdW6KoF",FALSE,0,"election_data",2018-02-10 17:53:08,FALSE,"962382163042762753","962383950302781440","354197301","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sw19_womble",0,FALSE,FALSE,NA,NA
"10","RT @EdKrassen: Every election is important, but the 2018 Congressional elections are as important as they get. We need to take Congress bac…",FALSE,0,NA,2018-02-10 17:53:07,FALSE,NA,"962383947035426816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","huskies0561",839,TRUE,FALSE,NA,NA
